epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,57.4506,1.82435,4.18646,1.78153,0.0997,0.2962,0.05947,0.0255,2.18376,10.1082,2.08424,0.000368384,0.000368384,0.000368384
2,112.455,1.89637,3.57017,1.83759,0.22068,0.15938,0.14959,0.06093,2.31764,3.04131,2.04895,0.000729576,0.000729576,0.000729576
3,163.885,1.96143,3.11229,1.8945,0.36258,0.25909,0.15423,0.07183,2.1836,2.63174,1.98137,0.0010816,0.0010816,0.0010816
4,217.195,1.93758,2.88018,1.88744,0.41558,0.26651,0.21827,0.08298,2.3333,2.4947,1.92072,0.00106975,0.00106975,0.00106975
5,268.736,1.90109,2.7448,1.82042,0.25019,0.2828,0.22907,0.09744,2.15043,2.61421,1.90345,0.00105601,0.00105601,0.00105601
6,326.211,1.84158,2.61901,1.78921,0.38115,0.29996,0.27575,0.12648,1.99397,2.68976,1.73552,0.00104226,0.00104226,0.00104226
7,381.41,1.80644,2.45202,1.75047,0.31047,0.31725,0.31207,0.14734,2.02078,2.2145,1.75309,0.00102851,0.00102851,0.00102851
8,433.889,1.74276,2.43751,1.73498,0.3022,0.32445,0.30053,0.14542,1.96502,2.27436,1.70628,0.00101476,0.00101476,0.00101476
9,487.431,1.74809,2.40792,1.70729,0.35662,0.38504,0.34361,0.16121,1.99689,2.22387,1.66487,0.00100101,0.00100101,0.00100101
10,538.872,1.73731,2.2978,1.71335,0.4483,0.3418,0.36695,0.19257,1.80408,2.14218,1.6361,0.000987262,0.000987262,0.000987262
11,592.404,1.70346,2.24407,1.67096,0.72613,0.27182,0.32393,0.15679,1.89901,2.34371,1.67549,0.000973514,0.000973514,0.000973514
12,644.146,1.6993,2.23042,1.68277,0.37676,0.40924,0.38176,0.1986,1.85191,2.06289,1.64978,0.000959765,0.000959765,0.000959765
13,697.666,1.67027,2.15136,1.63752,0.50451,0.38541,0.39472,0.18888,1.89793,2.03209,1.63768,0.000946016,0.000946016,0.000946016
14,749.247,1.68027,2.07346,1.65332,0.47303,0.43437,0.39879,0.19432,1.93402,1.98585,1.62379,0.000932268,0.000932268,0.000932268
15,803.025,1.63229,2.04617,1.62644,0.47229,0.48399,0.47198,0.2377,1.79119,1.81437,1.56536,0.000918519,0.000918519,0.000918519
16,854.844,1.60474,1.99268,1.60407,0.55694,0.42591,0.44243,0.24166,1.67706,1.92782,1.52192,0.000904771,0.000904771,0.000904771
17,908.741,1.62365,2.02716,1.61583,0.44848,0.44965,0.45348,0.24823,1.71602,1.84737,1.4894,0.000891022,0.000891022,0.000891022
18,960.209,1.60307,1.9907,1.59428,0.62594,0.46337,0.48448,0.25284,1.79152,1.80804,1.53459,0.000877273,0.000877273,0.000877273
